Causas (lista reducida);Sexo;Provincia de residencia;Total
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ceuta;28
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Melilla;34
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Extranjero;120
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Total;18.493
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Albacete;165
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Alicante/Alacant;570
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Almería;251
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Araba/Alava;134
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Asturias;786
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Avila;120
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Badajoz;307
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Balears, Illes;337
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Barcelona;2.058
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Bizkaia;531
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Burgos;183
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cáceres;200
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cádiz;388
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cantabria;235
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Castellón/Castelló;229
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ciudad Real;186
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Córdoba;334
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Coruña, A;441
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cuenca;101
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Gipuzkoa;312
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Girona;287
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Granada;285
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Guadalajara;89
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Huelva;171
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Huesca;139
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Jaén;293
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;León;345
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Lleida;240
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Lugo;171
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Madrid;2.207
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Málaga;475
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Murcia;526
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Navarra;311
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ourense;165
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Palencia;129
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Palmas, Las;368
