Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Periodo;Total
15 Coruña, A;TOTAL EDADES;TOTAL;Mujeres;2020;584.034
15 Coruña, A;TOTAL EDADES;TOTAL;Mujeres;2019;583.126
15 Coruña, A;TOTAL EDADES;TOTAL;Mujeres;2018;582.714
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2022;195.215
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2021;195.516
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2020;196.139
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2019;196.329
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2018;197.222
16 Cuenca;TOTAL EDADES;TOTAL;Hombres;2022;98.029
16 Cuenca;TOTAL EDADES;TOTAL;Hombres;2021;98.118
16 Cuenca;TOTAL EDADES;TOTAL;Hombres;2020;98.430
16 Cuenca;TOTAL EDADES;TOTAL;Hombres;2019;98.542
16 Cuenca;TOTAL EDADES;TOTAL;Hombres;2018;98.999
16 Cuenca;TOTAL EDADES;TOTAL;Mujeres;2022;97.186
16 Cuenca;TOTAL EDADES;TOTAL;Mujeres;2021;97.398
16 Cuenca;TOTAL EDADES;TOTAL;Mujeres;2020;97.709
16 Cuenca;TOTAL EDADES;TOTAL;Mujeres;2019;97.787
16 Cuenca;TOTAL EDADES;TOTAL;Mujeres;2018;98.223
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2022;724.418
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2021;726.033
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2020;727.121
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2019;723.576
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2018;720.592
20 Gipuzkoa;TOTAL EDADES;TOTAL;Hombres;2022;353.967
20 Gipuzkoa;TOTAL EDADES;TOTAL;Hombres;2021;354.717
20 Gipuzkoa;TOTAL EDADES;TOTAL;Hombres;2020;355.130
20 Gipuzkoa;TOTAL EDADES;TOTAL;Hombres;2019;353.363
20 Gipuzkoa;TOTAL EDADES;TOTAL;Hombres;2018;351.696
20 Gipuzkoa;TOTAL EDADES;TOTAL;Mujeres;2022;370.451
20 Gipuzkoa;TOTAL EDADES;TOTAL;Mujeres;2021;371.316
20 Gipuzkoa;TOTAL EDADES;TOTAL;Mujeres;2020;371.991
20 Gipuzkoa;TOTAL EDADES;TOTAL;Mujeres;2019;370.213
20 Gipuzkoa;TOTAL EDADES;TOTAL;Mujeres;2018;368.896
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2022;793.478
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2021;786.596
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2020;781.788
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2019;771.044
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2018;761.947
17 Girona;TOTAL EDADES;TOTAL;Hombres;2022;397.423
17 Girona;TOTAL EDADES;TOTAL;Hombres;2021;393.769
17 Girona;TOTAL EDADES;TOTAL;Hombres;2020;391.183
17 Girona;TOTAL EDADES;TOTAL;Hombres;2019;385.298
17 Girona;TOTAL EDADES;TOTAL;Hombres;2018;380.690
17 Girona;TOTAL EDADES;TOTAL;Mujeres;2022;396.055
17 Girona;TOTAL EDADES;TOTAL;Mujeres;2021;392.827
17 Girona;TOTAL EDADES;TOTAL;Mujeres;2020;390.605
17 Girona;TOTAL EDADES;TOTAL;Mujeres;2019;385.746
17 Girona;TOTAL EDADES;TOTAL;Mujeres;2018;381.257
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2022;921.987
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2021;921.338
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2020;919.168
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2019;914.678
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2018;912.075
18 Granada;TOTAL EDADES;TOTAL;Hombres;2022;454.162
18 Granada;TOTAL EDADES;TOTAL;Hombres;2021;453.683
18 Granada;TOTAL EDADES;TOTAL;Hombres;2020;452.595
18 Granada;TOTAL EDADES;TOTAL;Hombres;2019;450.555
18 Granada;TOTAL EDADES;TOTAL;Hombres;2018;449.318
18 Granada;TOTAL EDADES;TOTAL;Mujeres;2022;467.825
18 Granada;TOTAL EDADES;TOTAL;Mujeres;2021;467.655
18 Granada;TOTAL EDADES;TOTAL;Mujeres;2020;466.573
18 Granada;TOTAL EDADES;TOTAL;Mujeres;2019;464.123
18 Granada;TOTAL EDADES;TOTAL;Mujeres;2018;462.757
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2022;268.127
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2021;265.588
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2020;261.995
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2019;257.762
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2018;254.308
19 Guadalajara;TOTAL EDADES;TOTAL;Hombres;2022;135.890
19 Guadalajara;TOTAL EDADES;TOTAL;Hombres;2021;134.624
19 Guadalajara;TOTAL EDADES;TOTAL;Hombres;2020;132.839
19 Guadalajara;TOTAL EDADES;TOTAL;Hombres;2019;130.534
19 Guadalajara;TOTAL EDADES;TOTAL;Hombres;2018;128.854
19 Guadalajara;TOTAL EDADES;TOTAL;Mujeres;2022;132.237
19 Guadalajara;TOTAL EDADES;TOTAL;Mujeres;2021;130.964
19 Guadalajara;TOTAL EDADES;TOTAL;Mujeres;2020;129.156
19 Guadalajara;TOTAL EDADES;TOTAL;Mujeres;2019;127.228
19 Guadalajara;TOTAL EDADES;TOTAL;Mujeres;2018;125.454
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2022;528.763
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2021;525.835
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2020;524.278
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2019;521.870
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2018;519.932
21 Huelva;TOTAL EDADES;TOTAL;Hombres;2022;262.236
21 Huelva;TOTAL EDADES;TOTAL;Hombres;2021;260.581
21 Huelva;TOTAL EDADES;TOTAL;Hombres;2020;259.496
21 Huelva;TOTAL EDADES;TOTAL;Hombres;2019;258.413
21 Huelva;TOTAL EDADES;TOTAL;Hombres;2018;257.713
21 Huelva;TOTAL EDADES;TOTAL;Mujeres;2022;266.527
21 Huelva;TOTAL EDADES;TOTAL;Mujeres;2021;265.254
21 Huelva;TOTAL EDADES;TOTAL;Mujeres;2020;264.782
21 Huelva;TOTAL EDADES;TOTAL;Mujeres;2019;263.457
21 Huelva;TOTAL EDADES;TOTAL;Mujeres;2018;262.219
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2022;225.456
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2021;224.264
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2020;222.687
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2019;220.461
