Nacional;Comunidades y Ciudades Autónomas;Causas (lista reducida);Edad;Sexo;Total
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 15 a 29 años;Hombres;3
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 15 a 29 años;Mujeres;2
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 30 a 39 años;Hombres;10
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 30 a 39 años;Mujeres;11
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 40 a 44 años;Hombres;13
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 40 a 44 años;Mujeres;9
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 45 a 49 años;Hombres;50
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 45 a 49 años;Mujeres;16
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 50 a 54 años;Hombres;92
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 50 a 54 años;Mujeres;30
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 55 a 59 años;Hombres;168
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 55 a 59 años;Mujeres;65
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 60 a 64 años;Hombres;233
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 60 a 64 años;Mujeres;83
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 65 a 69 años;Hombres;256
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 65 a 69 años;Mujeres;83
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 70 a 74 años;Hombres;226
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 70 a 74 años;Mujeres;139
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 75 a 79 años;Hombres;263
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 75 a 79 años;Mujeres;199
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 80 a 84 años;Hombres;307
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 80 a 84 años;Mujeres;318
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 85 a 89 años;Hombres;279
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 85 a 89 años;Mujeres;447
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 90 a 94 años;Hombres;221
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 90 a 94 años;Mujeres;377
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 95 años y más;Hombres;68
Total Nacional;01 Andalucía;068-072 XI.Enfermedades del sistema digestivo;De 95 años y más;Mujeres;140
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 1 a 14 años;Hombres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 1 a 14 años;Mujeres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 15 a 29 años;Hombres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 15 a 29 años;Mujeres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 30 a 39 años;Hombres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 30 a 39 años;Mujeres;0
