Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2021;13.134
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2020;12.656
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2019;12.461
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2018;11.991
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2022;32.889
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2021;31.658
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2020;30.672
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2019;30.351
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2018;29.278
Total Nacional;Aragón;Teruel;;Media de la renta por unidad de consumo;2022;20.139
Total Nacional;Aragón;Teruel;;Media de la renta por unidad de consumo;2021;19.306
Total Nacional;Aragón;Teruel;;Media de la renta por unidad de consumo;2020;18.610
Total Nacional;Aragón;Teruel;;Media de la renta por unidad de consumo;2019;18.359
Total Nacional;Aragón;Teruel;;Media de la renta por unidad de consumo;2018;17.700
Total Nacional;Aragón;Teruel;;Mediana de la renta por unidad de consumo;2022;18.550
Total Nacional;Aragón;Teruel;;Mediana de la renta por unidad de consumo;2021;17.850
Total Nacional;Aragón;Teruel;;Mediana de la renta por unidad de consumo;2020;17.150
Total Nacional;Aragón;Teruel;;Mediana de la renta por unidad de consumo;2019;16.450
Total Nacional;Aragón;Teruel;;Mediana de la renta por unidad de consumo;2018;15.750
Total Nacional;Aragón;Teruel;;Renta bruta media por persona;2022;16.521
Total Nacional;Aragón;Teruel;;Renta bruta media por persona;2021;15.737
Total Nacional;Aragón;Teruel;;Renta bruta media por persona;2020;15.022
Total Nacional;Aragón;Teruel;;Renta bruta media por persona;2019;14.767
Total Nacional;Aragón;Teruel;;Renta bruta media por persona;2018;14.190
Total Nacional;Aragón;Teruel;;Renta bruta media por hogar;2022;39.558
Total Nacional;Aragón;Teruel;;Renta bruta media por hogar;2021;37.931
Total Nacional;Aragón;Teruel;;Renta bruta media por hogar;2020;36.407
Total Nacional;Aragón;Teruel;;Renta bruta media por hogar;2019;35.969
Total Nacional;Aragón;Teruel;;Renta bruta media por hogar;2018;34.646
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2022;14.750
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2021;14.087
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2020;13.637
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2019;13.516
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2018;13.063
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2022;36.098
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2021;34.492
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2020;33.654
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2019;33.505
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2018;32.328
Total Nacional;Aragón;Zaragoza;;Media de la renta por unidad de consumo;2022;21.740
Total Nacional;Aragón;Zaragoza;;Media de la renta por unidad de consumo;2021;20.804
Total Nacional;Aragón;Zaragoza;;Media de la renta por unidad de consumo;2020;20.147
Total Nacional;Aragón;Zaragoza;;Media de la renta por unidad de consumo;2019;20.032
Total Nacional;Aragón;Zaragoza;;Media de la renta por unidad de consumo;2018;19.389
Total Nacional;Aragón;Zaragoza;;Mediana de la renta por unidad de consumo;2022;19.250
Total Nacional;Aragón;Zaragoza;;Mediana de la renta por unidad de consumo;2021;18.550
Total Nacional;Aragón;Zaragoza;;Mediana de la renta por unidad de consumo;2020;17.850
Total Nacional;Aragón;Zaragoza;;Mediana de la renta por unidad de consumo;2019;17.850
Total Nacional;Aragón;Zaragoza;;Mediana de la renta por unidad de consumo;2018;17.150
Total Nacional;Aragón;Zaragoza;;Renta bruta media por persona;2022;18.149
Total Nacional;Aragón;Zaragoza;;Renta bruta media por persona;2021;17.214
Total Nacional;Aragón;Zaragoza;;Renta bruta media por persona;2020;16.548
Total Nacional;Aragón;Zaragoza;;Renta bruta media por persona;2019;16.401
Total Nacional;Aragón;Zaragoza;;Renta bruta media por persona;2018;15.837
Total Nacional;Aragón;Zaragoza;;Renta bruta media por hogar;2022;44.417
Total Nacional;Aragón;Zaragoza;;Renta bruta media por hogar;2021;42.146
Total Nacional;Aragón;Zaragoza;;Renta bruta media por hogar;2020;40.836
Total Nacional;Aragón;Zaragoza;;Renta bruta media por hogar;2019;40.657
Total Nacional;Aragón;Zaragoza;;Renta bruta media por hogar;2018;39.195
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2022;14.842
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2021;14.057
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2020;13.505
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2019;13.465
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2018;12.923
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2022;33.242
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2021;31.623
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2020;30.658
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2019;30.798
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2018;29.637
Total Nacional;Asturias, Principado de;Asturias;;Media de la renta por unidad de consumo;2022;21.303
Total Nacional;Asturias, Principado de;Asturias;;Media de la renta por unidad de consumo;2021;20.202
Total Nacional;Asturias, Principado de;Asturias;;Media de la renta por unidad de consumo;2020;19.475
Total Nacional;Asturias, Principado de;Asturias;;Media de la renta por unidad de consumo;2019;19.464
Total Nacional;Asturias, Principado de;Asturias;;Media de la renta por unidad de consumo;2018;18.722
Total Nacional;Asturias, Principado de;Asturias;;Mediana de la renta por unidad de consumo;2022;19.250
Total Nacional;Asturias, Principado de;Asturias;;Mediana de la renta por unidad de consumo;2021;18.550
Total Nacional;Asturias, Principado de;Asturias;;Mediana de la renta por unidad de consumo;2020;17.850
Total Nacional;Asturias, Principado de;Asturias;;Mediana de la renta por unidad de consumo;2019;17.850
Total Nacional;Asturias, Principado de;Asturias;;Mediana de la renta por unidad de consumo;2018;17.150
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por persona;2022;17.948
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por persona;2021;16.882
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por persona;2020;16.115
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por persona;2019;16.057
