Nacional;Comunidades y Ciudades Autónomas;Causa de muerte (capítulos de la 10ª revisión de la CIE);Tipo de indicador;Sexo;Total
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;0,97
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Hombres;22,50
Total Nacional;02 Aragón;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Mujeres;2,50
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Hombres;725,00
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Mujeres;332,50
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Hombres;1,87
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Mujeres;1,69
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;110,84
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;47,68
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Hombres;10,98
Total Nacional;02 Aragón;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Mujeres;11,47
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Nº de APVP;Hombres;232,50
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Nº de APVP;Mujeres;152,50
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Hombres;0,60
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Mujeres;0,78
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Hombres;34,08
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;21,23
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Nº medio de APVP;Hombres;10,11
Total Nacional;02 Aragón;Trastornos mentales y del comportamiento;Nº medio de APVP;Mujeres;8,03
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Hombres;1.675,00
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Mujeres;1.330,00
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Hombres;4,31
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Mujeres;6,77
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Hombres;248,04
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;195,52
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Hombres;11,17
Total Nacional;02 Aragón;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Mujeres;8,75
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Nº de APVP;Hombres;8.114,50
